Lead_ID,Email,Region,Industry,Company_Size,Job_Level,Lead_Score,Priority,Conversion_Probability,Predicted_Conversion,Total_Sessions,Engagement_Score,Days_Since_Last_Activity,Viewed_Pricing_Page,Requested_Demo,Source
LEAD_00036,lead36@example.com,Latin America,Technology,1000+,Director,27,COLD,0.2776,False,2,8.1,7,0,0,Content Download
LEAD_00037,lead37@example.com,North America,Healthcare,201-1000,Individual Contributor,18,COLD,0.1834,False,10,6.0,7,0,0,LinkedIn
LEAD_00038,lead38@example.com,Asia Pacific,Manufacturing,1-10,Senior Manager,15,COLD,0.1571,False,2,3.3,11,0,0,Content Download
LEAD_00039,lead39@example.com,Africa,Real Estate,11-50,Director,51,WARM,0.5165,True,4,45.65,2,1,0,Webinar
LEAD_00040,lead40@example.com,Africa,Real Estate,51-200,C-Level,32,COOL,0.322,False,2,0.8,7,0,0,Content Download
LEAD_00041,lead41@example.com,North America,Education,51-200,Director,92,HOT,0.92,True,20,95.4,8,1,0,Referral
LEAD_00042,lead42@example.com,Europe,Consulting,51-200,VP,22,COLD,0.2219,False,8,8.65,0,0,0,Google Ads
LEAD_00043,lead43@example.com,Asia Pacific,SaaS,51-200,Manager,88,HOT,0.885,True,14,69.8,0,1,0,LinkedIn
LEAD_00044,lead44@example.com,Asia Pacific,E-commerce,51-200,Manager,88,HOT,0.885,True,11,81.6,0,1,1,Content Download
LEAD_00045,lead45@example.com,Latin America,Manufacturing,1000+,Director,16,COLD,0.1699,False,6,6.3,2,0,0,Email Campaign
LEAD_00046,lead46@example.com,Asia Pacific,Healthcare,1-10,Manager,25,COLD,0.2508,False,2,9.7,3,0,0,Trade Show
LEAD_00047,lead47@example.com,Latin America,Retail,51-200,Individual Contributor,8,COLD,0.0888,False,10,0.2,65,1,0,Trade Show
LEAD_00048,lead48@example.com,Middle East,SaaS,11-50,Manager,43,COOL,0.4362,False,6,27.3,16,1,0,LinkedIn
LEAD_00049,lead49@example.com,Africa,E-commerce,1-10,C-Level,17,COLD,0.1738,False,3,13.05,6,0,0,Webinar
LEAD_00050,lead50@example.com,North America,Consulting,1-10,Individual Contributor,9,COLD,0.0905,False,6,0.0,21,0,0,Trade Show
LEAD_00051,lead51@example.com,Latin America,Consulting,201-1000,Director,17,COLD,0.1798,False,2,13.15,1,0,0,Email Campaign
LEAD_00052,lead52@example.com,Africa,Technology,51-200,VP,37,COOL,0.3715,False,5,12.9,22,1,0,Webinar
LEAD_00053,lead53@example.com,Asia Pacific,Education,1-10,Manager,33,COOL,0.3364,False,5,21.6,8,1,0,Email Campaign
LEAD_00054,lead54@example.com,Africa,Manufacturing,201-1000,C-Level,20,COLD,0.2063,False,3,6.1,20,0,1,Google Ads
LEAD_00055,lead55@example.com,Asia Pacific,Education,1-10,Individual Contributor,14,COLD,0.1495,False,7,4.1,29,0,0,Referral
LEAD_00056,lead56@example.com,Latin America,Healthcare,201-1000,Individual Contributor,31,COOL,0.3145,False,3,12.85,5,0,1,Referral
LEAD_00057,lead57@example.com,Middle East,Retail,51-200,Senior Manager,90,HOT,0.9,True,21,103.5,0,1,0,Content Download
LEAD_00058,lead58@example.com,Europe,Healthcare,201-1000,Director,30,COOL,0.3078,False,5,19.2,1,0,1,Trade Show
LEAD_00059,lead59@example.com,Africa,Education,1000+,Director,54,WARM,0.542,True,6,11.35,6,0,1,LinkedIn
LEAD_00060,lead60@example.com,Africa,Technology,51-200,Individual Contributor,12,COLD,0.1265,False,2,0.4,0,0,0,Partner
LEAD_00061,lead61@example.com,Asia Pacific,E-commerce,1-10,C-Level,15,COLD,0.156,False,8,2.95,1,0,0,Facebook
LEAD_00062,lead62@example.com,Europe,Finance,201-1000,Individual Contributor,20,COLD,0.2081,False,7,4.85,7,0,0,Partner
LEAD_00063,lead63@example.com,Latin America,Retail,1000+,Manager,34,COOL,0.3481,False,7,19.45,3,0,0,Facebook
LEAD_00064,lead64@example.com,North America,Technology,201-1000,VP,86,HOT,0.865,True,20,94.7,1,1,0,Webinar
LEAD_00065,lead65@example.com,North America,Manufacturing,11-50,Manager,57,WARM,0.5758,True,2,12.45,1,1,0,Website
LEAD_00066,lead66@example.com,North America,Education,11-50,VP,34,COOL,0.3494,False,4,0.0,25,0,0,Partner
LEAD_00067,lead67@example.com,Europe,Healthcare,1000+,C-Level,12,COLD,0.1223,False,5,4.35,1,0,0,Cold Outreach
LEAD_00068,lead68@example.com,North America,Manufacturing,1000+,Director,21,COLD,0.2152,False,8,9.75,5,0,0,Email Campaign
LEAD_00069,lead69@example.com,Africa,Education,1000+,Senior Manager,34,COOL,0.349,False,7,12.3,7,0,0,Trade Show
LEAD_00070,lead70@example.com,Middle East,Manufacturing,1-10,Individual Contributor,26,COLD,0.262,False,1,14.7,22,0,1,Webinar
LEAD_00071,lead71@example.com,Middle East,E-commerce,51-200,Director,7,COLD,0.0795,False,3,0.0,31,0,0,Facebook
LEAD_00072,lead72@example.com,Africa,Healthcare,51-200,C-Level,16,COLD,0.1655,False,3,0.0,13,0,0,Trade Show
LEAD_00073,lead73@example.com,Europe,Healthcare,1-10,Senior Manager,19,COLD,0.1961,False,10,5.35,16,0,0,Partner
LEAD_00074,lead74@example.com,North America,E-commerce,11-50,Senior Manager,43,COOL,0.4342,False,5,8.3,13,0,1,Google Ads
LEAD_00075,lead75@example.com,Europe,SaaS,1000+,Senior Manager,26,COLD,0.2637,False,9,19.15,2,0,0,Cold Outreach
LEAD_00076,lead76@example.com,Africa,Manufacturing,201-1000,Individual Contributor,65,WARM,0.6545,True,3,16.55,13,1,0,Webinar
LEAD_00077,lead77@example.com,Europe,Technology,51-200,Director,89,HOT,0.89,True,12,88.9,3,1,0,Google Ads
LEAD_00078,lead78@example.com,Asia Pacific,SaaS,201-1000,Senior Manager,8,COLD,0.085,False,4,0.0,3,0,0,Trade Show
LEAD_00079,lead79@example.com,Middle East,Finance,1-10,Director,34,COOL,0.3466,False,3,23.1,15,0,1,Google Ads
LEAD_00080,lead80@example.com,Africa,SaaS,51-200,VP,18,COLD,0.1869,False,6,5.65,8,0,0,Referral
LEAD_00081,lead81@example.com,Europe,SaaS,201-1000,Manager,87,HOT,0.875,True,17,104.25,0,1,1,Content Download
LEAD_00082,lead82@example.com,Latin America,Finance,201-1000,VP,6,COLD,0.0698,False,2,0.0,6,0,0,Email Campaign
LEAD_00083,lead83@example.com,Africa,Manufacturing,1-10,VP,33,COOL,0.3305,False,8,26.05,4,1,1,Referral
LEAD_00084,lead84@example.com,Europe,SaaS,1000+,Manager,31,COOL,0.3198,False,4,5.0,8,0,0,Google Ads
LEAD_00085,lead85@example.com,Asia Pacific,Technology,1-10,C-Level,21,COLD,0.2177,False,4,8.65,24,0,1,Cold Outreach
LEAD_00086,lead86@example.com,Asia Pacific,Consulting,1000+,VP,90,HOT,0.9,True,11,99.35,0,1,1,Referral
LEAD_00087,lead87@example.com,North America,Healthcare,11-50,Manager,9,COLD,0.0905,False,3,0.0,8,0,0,Webinar
LEAD_00088,lead88@example.com,Africa,Healthcare,51-200,Senior Manager,23,COLD,0.2319,False,4,11.05,3,0,0,Referral
LEAD_00089,lead89@example.com,Asia Pacific,SaaS,1-10,Individual Contributor,9,COLD,0.0936,False,5,0.0,15,0,0,Google Ads
LEAD_00090,lead90@example.com,Latin America,Manufacturing,1-10,Director,3,COLD,0.0373,False,7,0.0,72,0,0,Cold Outreach
LEAD_00091,lead91@example.com,Latin America,Real Estate,1-10,C-Level,24,COLD,0.2473,False,4,15.45,4,0,0,Webinar
LEAD_00092,lead92@example.com,Europe,Education,11-50,Senior Manager,48,COOL,0.4845,False,3,9.7,20,0,0,Trade Show
LEAD_00093,lead93@example.com,Europe,Finance,1000+,Senior Manager,41,COOL,0.4178,False,7,14.45,6,0,0,Website
LEAD_00094,lead94@example.com,Asia Pacific,Real Estate,1000+,Senior Manager,41,COOL,0.4141,False,5,15.75,3,0,0,Cold Outreach
LEAD_00095,lead95@example.com,Asia Pacific,Healthcare,201-1000,Senior Manager,20,COLD,0.2049,False,5,0.0,20,0,0,Cold Outreach
LEAD_00096,lead96@example.com,Africa,Consulting,11-50,C-Level,17,COLD,0.1794,False,5,11.35,6,0,0,Google Ads
LEAD_00097,lead97@example.com,Latin America,SaaS,11-50,C-Level,19,COLD,0.1971,False,2,9.85,8,0,0,Website
LEAD_00098,lead98@example.com,Latin America,E-commerce,1-10,VP,69,WARM,0.6969,True,5,34.0,8,0,1,Facebook
LEAD_00099,lead99@example.com,North America,E-commerce,51-200,VP,17,COLD,0.1789,False,3,0.0,17,0,0,Website
LEAD_00100,lead100@example.com,Africa,Manufacturing,1-10,C-Level,11,COLD,0.1176,False,7,0.0,15,0,0,LinkedIn
LEAD_00101,lead101@example.com,Africa,Consulting,51-200,Individual Contributor,22,COLD,0.2225,False,11,4.6,24,0,0,Partner
LEAD_00102,lead102@example.com,Africa,Education,201-1000,C-Level,21,COLD,0.2121,False,3,24.15,0,1,0,Content Download
LEAD_00103,lead103@example.com,Europe,E-commerce,201-1000,Director,27,COLD,0.2748,False,4,12.4,7,0,1,Email Campaign
LEAD_00104,lead104@example.com,Asia Pacific,Finance,1-10,Manager,68,WARM,0.6853,True,7,18.45,4,1,0,Google Ads
LEAD_00105,lead105@example.com,Asia Pacific,Manufacturing,201-1000,Manager,21,COLD,0.2136,False,6,8.9,6,0,0,Referral
LEAD_00106,lead106@example.com,Asia Pacific,SaaS,11-50,Senior Manager,13,COLD,0.1312,False,6,3.95,12,0,0,Webinar
LEAD_00107,lead107@example.com,Africa,Technology,201-1000,C-Level,5,COLD,0.0514,False,4,0.0,31,0,0,Content Download
LEAD_00108,lead108@example.com,Africa,E-commerce,1-10,Senior Manager,32,COOL,0.3264,False,10,12.7,6,0,0,Webinar
LEAD_00109,lead109@example.com,Middle East,SaaS,1000+,Manager,44,COOL,0.4421,False,5,18.25,5,0,0,Content Download
LEAD_00110,lead110@example.com,Africa,Education,1-10,Senior Manager,40,COOL,0.4009,False,8,3.45,14,0,0,Trade Show
LEAD_00111,lead111@example.com,Africa,Real Estate,1-10,C-Level,28,COLD,0.2877,False,6,11.35,11,0,0,Webinar
LEAD_00112,lead112@example.com,Africa,SaaS,201-1000,VP,27,COLD,0.2748,False,6,14.35,1,0,0,Email Campaign
LEAD_00113,lead113@example.com,Europe,Real Estate,201-1000,Manager,32,COOL,0.3287,False,5,12.5,7,1,0,Partner
LEAD_00114,lead114@example.com,Africa,Consulting,11-50,Individual Contributor,21,COLD,0.2167,False,5,6.85,5,0,0,Trade Show
LEAD_00115,lead115@example.com,Africa,E-commerce,11-50,Director,52,WARM,0.5243,True,4,15.95,10,0,0,Trade Show
LEAD_00116,lead116@example.com,Europe,Technology,1000+,Senior Manager,6,COLD,0.0671,False,6,0.0,38,0,0,LinkedIn
LEAD_00117,lead117@example.com,Europe,Finance,51-200,Manager,92,HOT,0.92,True,13,83.5,2,1,0,LinkedIn
LEAD_00118,lead118@example.com,North America,Education,1-10,VP,24,COLD,0.2498,False,4,5.2,7,0,0,Trade Show
LEAD_00119,lead119@example.com,Europe,Consulting,1-10,Director,10,COLD,0.1041,False,1,3.75,25,0,1,Trade Show
LEAD_00120,lead120@example.com,North America,Retail,201-1000,Individual Contributor,30,COOL,0.3022,False,2,24.7,7,1,0,Website
LEAD_00121,lead121@example.com,Europe,Finance,1-10,VP,6,COLD,0.0619,False,5,0.0,5,0,0,Cold Outreach
LEAD_00122,lead122@example.com,Europe,Manufacturing,1-10,Manager,17,COLD,0.1762,False,7,4.9,10,0,0,LinkedIn
LEAD_00123,lead123@example.com,North America,Technology,51-200,Senior Manager,91,HOT,0.915,True,17,86.6,2,0,0,Content Download
LEAD_00124,lead124@example.com,Africa,E-commerce,1000+,Manager,43,COOL,0.4318,False,5,2.6,19,0,0,Content Download
LEAD_00125,lead125@example.com,Middle East,Technology,51-200,C-Level,44,COOL,0.4483,False,7,13.35,5,1,0,Partner
LEAD_00126,lead126@example.com,Latin America,E-commerce,1-10,Senior Manager,20,COLD,0.2037,False,6,7.65,7,0,0,Referral
LEAD_00127,lead127@example.com,Europe,Consulting,51-200,Director,13,COLD,0.1368,False,7,5.95,13,0,0,Website
LEAD_00128,lead128@example.com,North America,Healthcare,201-1000,Senior Manager,88,HOT,0.88,True,8,64.95,1,1,0,Webinar
LEAD_00129,lead129@example.com,North America,E-commerce,51-200,C-Level,9,COLD,0.0949,False,3,6.8,6,0,0,LinkedIn
LEAD_00130,lead130@example.com,Middle East,Education,201-1000,C-Level,91,HOT,0.915,True,13,96.4,5,1,1,Webinar
LEAD_00131,lead131@example.com,Europe,Healthcare,11-50,Individual Contributor,27,COLD,0.2741,False,7,20.6,2,0,0,Partner
LEAD_00132,lead132@example.com,Asia Pacific,E-commerce,1-10,C-Level,21,COLD,0.219,False,10,23.55,10,0,0,Webinar
LEAD_00133,lead133@example.com,Africa,SaaS,1000+,Senior Manager,57,WARM,0.5782,True,3,13.3,6,1,0,Google Ads
LEAD_00134,lead134@example.com,Latin America,Education,11-50,Manager,12,COLD,0.1281,False,8,1.05,12,0,0,Facebook
LEAD_00135,lead135@example.com,Asia Pacific,E-commerce,201-1000,Senior Manager,41,COOL,0.4155,False,6,9.75,0,0,0,Trade Show
LEAD_00136,lead136@example.com,Middle East,Retail,1000+,Director,18,COLD,0.1801,False,7,6.35,14,0,0,Website
LEAD_00137,lead137@example.com,North America,Technology,11-50,VP,54,WARM,0.5449,True,2,37.75,10,1,0,Google Ads
LEAD_00138,lead138@example.com,Africa,SaaS,1-10,Senior Manager,23,COLD,0.235,False,3,6.6,0,0,0,Webinar
LEAD_00139,lead139@example.com,Asia Pacific,Finance,1-10,C-Level,9,COLD,0.0934,False,8,0.65,5,0,0,Facebook
LEAD_00140,lead140@example.com,Africa,Consulting,1-10,Senior Manager,38,COOL,0.3835,False,5,13.55,23,1,0,Email Campaign
LEAD_00141,lead141@example.com,Africa,Finance,201-1000,Individual Contributor,54,WARM,0.5452,True,4,14.3,0,0,0,LinkedIn
LEAD_00142,lead142@example.com,Latin America,Technology,1-10,Senior Manager,49,COOL,0.4908,False,4,17.75,3,1,0,Facebook
LEAD_00143,lead143@example.com,North America,Healthcare,51-200,Director,13,COLD,0.1392,False,5,0.0,14,0,0,Trade Show
LEAD_00144,lead144@example.com,Middle East,SaaS,11-50,VP,24,COLD,0.2473,False,7,13.05,13,0,0,Webinar
LEAD_00145,lead145@example.com,Europe,Finance,1-10,Director,24,COLD,0.2446,False,5,14.05,12,0,0,LinkedIn
LEAD_00146,lead146@example.com,Middle East,Healthcare,201-1000,Manager,83,HOT,0.83,True,13,93.65,1,1,1,Webinar
LEAD_00147,lead147@example.com,Africa,Technology,201-1000,Senior Manager,91,HOT,0.91,True,9,86.75,5,1,1,Webinar
LEAD_00148,lead148@example.com,Africa,Retail,201-1000,Manager,58,WARM,0.5845,True,3,32.3,1,1,0,Google Ads
LEAD_00149,lead149@example.com,Latin America,Education,11-50,Senior Manager,20,COLD,0.2057,False,6,5.65,4,0,0,Website
LEAD_00150,lead150@example.com,Europe,Retail,11-50,C-Level,65,WARM,0.6589,True,10,31.7,4,0,1,Partner
LEAD_00151,lead151@example.com,Asia Pacific,Manufacturing,11-50,Director,17,COLD,0.1757,False,8,1.85,19,0,0,Trade Show
LEAD_00152,lead152@example.com,Asia Pacific,Manufacturing,11-50,Manager,17,COLD,0.1704,False,5,11.1,0,0,0,Cold Outreach
LEAD_00153,lead153@example.com,Europe,Retail,1000+,C-Level,4,COLD,0.0478,False,1,0.0,24,0,0,Email Campaign
LEAD_00154,lead154@example.com,Europe,Real Estate,51-200,Senior Manager,15,COLD,0.1509,False,4,4.45,4,0,0,Referral
LEAD_00155,lead155@example.com,Latin America,Consulting,11-50,Senior Manager,24,COLD,0.2459,False,5,9.15,22,0,1,Partner
LEAD_00156,lead156@example.com,Latin America,Technology,1-10,VP,68,WARM,0.6872,True,9,22.05,10,1,1,Webinar
LEAD_00157,lead157@example.com,Africa,SaaS,1000+,Senior Manager,17,COLD,0.1769,False,5,3.8,1,0,0,Content Download
LEAD_00158,lead158@example.com,North America,Manufacturing,1000+,VP,87,HOT,0.875,True,19,97.55,1,1,1,Webinar
LEAD_00159,lead159@example.com,Latin America,E-commerce,1000+,Individual Contributor,8,COLD,0.0857,False,4,0.0,18,0,0,Google Ads
LEAD_00160,lead160@example.com,North America,Consulting,11-50,Individual Contributor,18,COLD,0.1861,False,8,7.25,10,0,0,Partner
LEAD_00161,lead161@example.com,North America,Finance,11-50,Senior Manager,32,COOL,0.3223,False,3,20.15,11,1,0,Website
LEAD_00162,lead162@example.com,North America,SaaS,201-1000,VP,88,HOT,0.88,True,10,78.8,4,1,0,Webinar
LEAD_00163,lead163@example.com,Africa,SaaS,11-50,C-Level,21,COLD,0.2126,False,4,4.1,1,0,0,Partner
LEAD_00164,lead164@example.com,North America,Education,11-50,Senior Manager,18,COLD,0.1846,False,6,4.5,6,0,0,Trade Show
LEAD_00165,lead165@example.com,Middle East,Technology,1-10,VP,19,COLD,0.1971,False,6,16.7,4,0,1,Content Download
LEAD_00166,lead166@example.com,North America,Education,51-200,VP,25,COLD,0.2529,False,5,13.65,0,0,0,Email Campaign
LEAD_00167,lead167@example.com,Africa,SaaS,1-10,Director,4,COLD,0.0494,False,5,0.0,35,0,0,Cold Outreach
LEAD_00168,lead168@example.com,Middle East,E-commerce,201-1000,Director,16,COLD,0.1631,False,4,6.35,7,0,0,Email Campaign
LEAD_00169,lead169@example.com,Asia Pacific,Education,11-50,C-Level,40,COOL,0.4014,False,5,2.85,7,0,0,Cold Outreach
LEAD_00170,lead170@example.com,Africa,Retail,51-200,Manager,17,COLD,0.1798,False,1,9.05,3,0,0,Website
LEAD_00171,lead171@example.com,Africa,Technology,201-1000,Director,90,HOT,0.905,True,22,70.8,2,0,0,Referral
LEAD_00172,lead172@example.com,Asia Pacific,Finance,1-10,Manager,10,COLD,0.1078,False,1,0.0,24,0,0,Trade Show
LEAD_00173,lead173@example.com,Asia Pacific,Education,1000+,Manager,23,COLD,0.2315,False,6,10.35,10,0,0,Google Ads
LEAD_00174,lead174@example.com,Europe,SaaS,1000+,Manager,23,COLD,0.2315,False,7,4.35,15,0,0,Cold Outreach
LEAD_00175,lead175@example.com,Middle East,Healthcare,11-50,VP,8,COLD,0.0832,False,2,0.0,29,0,0,Google Ads
LEAD_00176,lead176@example.com,North America,Healthcare,1-10,Manager,16,COLD,0.1638,False,4,0.25,7,0,0,Google Ads
LEAD_00177,lead177@example.com,Asia Pacific,Manufacturing,1000+,Individual Contributor,55,WARM,0.5579,True,3,11.5,10,1,0,Cold Outreach
LEAD_00178,lead178@example.com,Middle East,Healthcare,1-10,Individual Contributor,6,COLD,0.0637,False,9,0.0,47,0,0,Facebook
LEAD_00179,lead179@example.com,North America,Consulting,1000+,Individual Contributor,10,COLD,0.1085,False,4,0.0,25,0,0,Content Download
LEAD_00180,lead180@example.com,Middle East,Education,201-1000,Manager,8,COLD,0.0813,False,5,0.0,33,0,0,Email Campaign
LEAD_00181,lead181@example.com,Europe,Retail,51-200,C-Level,37,COOL,0.3732,False,2,3.95,4,0,0,Content Download
LEAD_00182,lead182@example.com,Middle East,Finance,201-1000,VP,85,HOT,0.85,True,17,55.3,1,0,0,Referral
LEAD_00183,lead183@example.com,Latin America,Healthcare,51-200,Senior Manager,91,HOT,0.91,True,11,86.25,0,1,0,LinkedIn
LEAD_00184,lead184@example.com,Middle East,Healthcare,1000+,Senior Manager,10,COLD,0.1025,False,4,4.2,11,0,0,Cold Outreach
LEAD_00185,lead185@example.com,North America,Retail,201-1000,Senior Manager,68,WARM,0.6879,True,6,27.55,1,0,1,Cold Outreach
LEAD_00186,lead186@example.com,Latin America,SaaS,1-10,C-Level,4,COLD,0.045,False,8,0.0,37,0,0,Partner
LEAD_00187,lead187@example.com,North America,Real Estate,201-1000,Manager,87,HOT,0.875,True,15,110.85,1,1,1,LinkedIn
LEAD_00188,lead188@example.com,Africa,E-commerce,201-1000,Senior Manager,83,HOT,0.83,True,18,82.1,0,1,0,Webinar
LEAD_00189,lead189@example.com,Africa,SaaS,1000+,Individual Contributor,55,WARM,0.5567,True,7,14.35,7,1,0,Website
LEAD_00190,lead190@example.com,Europe,E-commerce,1000+,Director,15,COLD,0.1588,False,3,6.4,2,0,0,Email Campaign
LEAD_00191,lead191@example.com,North America,Finance,201-1000,VP,16,COLD,0.1636,False,5,2.4,3,0,0,Google Ads
LEAD_00192,lead192@example.com,Middle East,Retail,1-10,VP,62,WARM,0.6277,True,6,29.75,9,1,0,Referral
LEAD_00193,lead193@example.com,Africa,SaaS,51-200,Senior Manager,93,HOT,0.935,True,16,96.25,0,1,1,Content Download
LEAD_00194,lead194@example.com,Middle East,Retail,51-200,Director,26,COLD,0.2637,False,4,0.45,15,0,0,Trade Show
LEAD_00195,lead195@example.com,Africa,Healthcare,1000+,Manager,15,COLD,0.1567,False,7,3.2,10,0,0,Email Campaign
LEAD_00196,lead196@example.com,North America,Consulting,1000+,Individual Contributor,13,COLD,0.1362,False,6,0.0,22,0,0,Cold Outreach
LEAD_00197,lead197@example.com,Latin America,Technology,1000+,Senior Manager,21,COLD,0.2123,False,8,20.15,3,0,0,Content Download
LEAD_00198,lead198@example.com,Middle East,Education,11-50,Director,32,COOL,0.3254,False,8,27.2,3,1,0,Email Campaign
LEAD_00199,lead199@example.com,Europe,Technology,11-50,Director,54,WARM,0.5465,True,5,31.5,16,0,1,Trade Show
LEAD_00200,lead200@example.com,Middle East,Education,1-10,Director,14,COLD,0.148,False,2,3.95,30,1,0,Referral
LEAD_00201,lead201@example.com,Europe,Education,201-1000,C-Level,17,COLD,0.1705,False,7,10.0,3,0,0,Cold Outreach
LEAD_00202,lead202@example.com,North America,Retail,51-200,C-Level,39,COOL,0.3946,False,3,13.95,1,0,0,Facebook
LEAD_00203,lead203@example.com,Asia Pacific,Finance,11-50,VP,22,COLD,0.2237,False,6,0.0,10,0,0,Trade Show
LEAD_00204,lead204@example.com,Asia Pacific,Consulting,1000+,Manager,42,COOL,0.4205,False,2,24.4,0,1,0,Email Campaign
LEAD_00205,lead205@example.com,North America,Education,11-50,Director,22,COLD,0.2219,False,6,4.6,25,0,0,Content Download
LEAD_00206,lead206@example.com,Europe,Manufacturing,1-10,C-Level,51,WARM,0.5173,True,2,20.8,0,0,1,Facebook
LEAD_00207,lead207@example.com,Latin America,Consulting,1-10,Senior Manager,25,COLD,0.2579,False,5,10.15,17,0,0,Email Campaign
LEAD_00208,lead208@example.com,Europe,Healthcare,1000+,C-Level,40,COOL,0.4065,False,4,15.8,11,0,0,Trade Show
LEAD_00209,lead209@example.com,Europe,SaaS,1-10,Director,37,COOL,0.3786,False,1,24.5,3,0,0,Referral
LEAD_00210,lead210@example.com,Europe,Retail,51-200,VP,4,COLD,0.0406,False,7,0.0,33,0,0,Trade Show
LEAD_00211,lead211@example.com,Middle East,Finance,1-10,VP,15,COLD,0.1572,False,5,4.3,2,0,0,Content Download
